Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Apa pantas jurnalis bilang ""katanya"" dn ""dengernya"" untuk menyatakan sumber...?",UgzCB_TmYpOKhThhO4N4AaABAg,0,15
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Semoga Allah segera memberantas org2 yg ingin merusak negara ini ya Allah,,
Senjata yg paling ampuh adalah berdoa,
Mari kita berdoa agar Allah melindungi rakyat dan bangsa ini",Ugxmfi_SOVddLf7u5IR4AaABAg,0,11
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Lovely...ini baru acara yg benar2 mencerdaskan rakyat..semua terbuka semua pendapat masuk ke otak..maju negriku..maju rakyatnya..kompak rakyatnya...i love you always Indonesia,UgyvR8jM9MRYb4IPpz14AaABAg,0,6
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Semangat Prof.mahfud MD.......,UgxJkQpXIfS6eOcNY-N4AaABAg,0,7
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Alfinawati memang jempolan.
Semoga lebih banyak lagi orang seperti beliau.",UgwBbR6r8EoxHAS4vxh4AaABAg,9,135
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"tingkat kpercayaan masyarakat kpda pmerintah yg diberitakan tv metro,,? justru masyarakat trhdp tv metro nya jg sdh tdk perca,,, krna tv carmuk.",Ugw2IkAGzLNcVU8JILN4AaABAg,3,11
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,👍👍👍👍👍👍asfinawati❤️,UgzputDj1smDH7Svw6R4AaABAg,0,5
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Kena tampol murid sendiri rasanya anjim bangettt


Mahfud MD",UgzwoTBhvuJb40xY2nt4AaABAg,0,17
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"omonge pak Moel koyok moco puisi
fase selow : 7:55
fase klimaks : 8:53 
Luarrrr biasa : 9:12",UgzdzKO7ovx_ceOk69R4AaABAg,0,5
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"2:48:01 save bang Krni Ilyas/ILC😆😆
ganti nomer bang supaya tidak masuk nomor2 misterius 😆😆
masih ada baned RG? nanti ditikung mbak najwa
ati2 call misterius baned RR pura2 sibuk aja kalau di call 😆😆",Ugyh8ys4Puv_2zG3dfp4AaABAg,0,4
